Año;Tipo territorio;Código territorio;Territorio;Rama de actividad;Valor;Estado dato
2014;Comunidad de Madrid;;Comunidad de Madrid;Agricultura y ganadería;7022;
2014;Municipios;0014;Acebeda (La);Agricultura y ganadería;2;
2014;Municipios;0029;Ajalvir;Agricultura y ganadería;11;
2014;Municipios;0035;Alameda del Valle;Agricultura y ganadería;9;
2014;Municipios;0040;Álamo (El);Agricultura y ganadería;25;
2014;Municipios;0053;Alcalá de Henares;Agricultura y ganadería;90;
2014;Municipios;0066;Alcobendas;Agricultura y ganadería;85;
2014;Municipios;0072;Alcorcón;Agricultura y ganadería;87;
2014;Municipios;0088;Aldea del Fresno;Agricultura y ganadería;29;
2014;Municipios;0091;Algete;Agricultura y ganadería;36;
2014;Municipios;0105;Alpedrete;Agricultura y ganadería;8;
2014;Municipios;0112;Ambite;Agricultura y ganadería;5;
2014;Municipios;0127;Anchuelo;Agricultura y ganadería;7;
2014;Municipios;0133;Aranjuez;Agricultura y ganadería;164;
2014;Municipios;0148;Arganda del Rey;Agricultura y ganadería;76;
2014;Municipios;0151;Arroyomolinos;Agricultura y ganadería;6;
2014;Municipios;0164;Atazar (El);Agricultura y ganadería;1;
2014;Municipios;0170;Batres;Agricultura y ganadería;1;
2014;Municipios;0186;Becerril de la Sierra;Agricultura y ganadería;21;
2014;Municipios;0199;Belmonte de Tajo;Agricultura y ganadería;16;
2014;Municipios;0210;Berrueco (El);Agricultura y ganadería;2;
2014;Municipios;0203;Berzosa del Lozoya;Agricultura y ganadería;0;
2014;Municipios;0225;Boadilla del Monte;Agricultura y ganadería;29;
2014;Municipios;0231;Boalo (El);Agricultura y ganadería;21;
2014;Municipios;0246;Braojos;Agricultura y ganadería;7;
2014;Municipios;0259;Brea de Tajo;Agricultura y ganadería;15;
2014;Municipios;0262;Brunete;Agricultura y ganadería;23;
2014;Municipios;0278;Buitrago del Lozoya;Agricultura y ganadería;19;
2014;Municipios;0284;Bustarviejo;Agricultura y ganadería;24;
2014;Municipios;0297;Cabanillas de la Sierra;Agricultura y ganadería;3;
2014;Municipios;0301;Cabrera (La);Agricultura y ganadería;10;
2014;Municipios;0318;Cadalso de los Vidrios;Agricultura y ganadería;26;
2014;Municipios;0323;Camarma de Esteruelas;Agricultura y ganadería;5;
2014;Municipios;0339;Campo Real;Agricultura y ganadería;14;
2014;Municipios;0344;Canencia;Agricultura y ganadería;21;
2014;Municipios;0357;Carabaña;Agricultura y ganadería;13;
2014;Municipios;0360;Casarrubuelos;Agricultura y ganadería;3;
2014;Municipios;0376;Cenicientos;Agricultura y ganadería;38;
2014;Municipios;0382;Cercedilla;Agricultura y ganadería;19;
2014;Municipios;0395;Cervera de Buitrago;Agricultura y ganadería;3;
2014;Municipios;0513;Chapinería;Agricultura y ganadería;14;
2014;Municipios;0528;Chinchón;Agricultura y ganadería;173;
2014;Municipios;0409;Ciempozuelos;Agricultura y ganadería;52;
2014;Municipios;0416;Cobeña;Agricultura y ganadería;17;
2014;Municipios;0468;Collado Mediano;Agricultura y ganadería;6;
2014;Municipios;0474;Collado Villalba;Agricultura y ganadería;57;
2014;Municipios;0437;Colmenar de Oreja;Agricultura y ganadería;74;
2014;Municipios;0421;Colmenar del Arroyo;Agricultura y ganadería;19;
2014;Municipios;0455;Colmenar Viejo;Agricultura y ganadería;131;
2014;Municipios;0442;Colmenarejo;Agricultura y ganadería;12;
2014;Municipios;0480;Corpa;Agricultura y ganadería;5;
2014;Municipios;0493;Coslada;Agricultura y ganadería;25;
2014;Municipios;0506;Cubas de la Sagra;Agricultura y ganadería;5;
2014;Municipios;0534;Daganzo de Arriba;Agricultura y ganadería;20;
2014;Municipios;0549;Escorial (El);Agricultura y ganadería;37;
2014;Municipios;0552;Estremera;Agricultura y ganadería;19;
2014;Municipios;0565;Fresnedillas de la Oliva;Agricultura y ganadería;7;
2014;Municipios;0571;Fresno de Torote;Agricultura y ganadería;7;
2014;Municipios;0587;Fuenlabrada;Agricultura y ganadería;109;
2014;Municipios;0590;Fuente el Saz de Jarama;Agricultura y ganadería;33;
2014;Municipios;0604;Fuentidueña de Tajo;Agricultura y ganadería;28;
2014;Municipios;0611;Galapagar;Agricultura y ganadería;31;
2014;Municipios;0626;Garganta de los Montes;Agricultura y ganadería;14;
2014;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Agricultura y ganadería;6;
2014;Municipios;0647;Gascones;Agricultura y ganadería;9;
2014;Municipios;0650;Getafe;Agricultura y ganadería;92;
2014;Municipios;0663;Griñón;Agricultura y ganadería;17;
2014;Municipios;0679;Guadalix de la Sierra;Agricultura y ganadería;66;
2014;Municipios;0685;Guadarrama;Agricultura y ganadería;33;
2014;Municipios;0698;Hiruela (La);Agricultura y ganadería;0;
2014;Municipios;0702;Horcajo de la Sierra-Aoslos;Agricultura y ganadería;4;
2014;Municipios;0719;Horcajuelo de la Sierra;Agricultura y ganadería;3;
2014;Municipios;0724;Hoyo de Manzanares;Agricultura y ganadería;12;
2014;Municipios;0730;Humanes de Madrid;Agricultura y ganadería;23;
2014;Municipios;0745;Leganés;Agricultura y ganadería;70;
2014;Municipios;0758;Loeches;Agricultura y ganadería;8;
2014;Municipios;0761;Lozoya;Agricultura y ganadería;20;
2014;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Agricultura y ganadería;5;
2014;Municipios;0783;Madarcos;Agricultura y ganadería;4;
2014;Municipios;0796;Madrid;Agricultura y ganadería;1420;
2014;Municipios;0800;Majadahonda;Agricultura y ganadería;45;
2014;Municipios;0822;Manzanares el Real;Agricultura y ganadería;22;
2014;Municipios;0838;Meco;Agricultura y ganadería;20;
2014;Municipios;0843;Mejorada del Campo;Agricultura y ganadería;9;
2014;Municipios;0856;Miraflores de la Sierra;Agricultura y ganadería;29;
2014;Municipios;0869;Molar (El);Agricultura y ganadería;21;
2014;Municipios;0875;Molinos (Los);Agricultura y ganadería;16;
2014;Municipios;0881;Montejo de la Sierra;Agricultura y ganadería;10;
2014;Municipios;0894;Moraleja de Enmedio;Agricultura y ganadería;12;
2014;Municipios;0908;Moralzarzal;Agricultura y ganadería;21;
2014;Municipios;0915;Morata de Tajuña;Agricultura y ganadería;68;
2014;Municipios;0920;Móstoles;Agricultura y ganadería;125;
2014;Municipios;0936;Navacerrada;Agricultura y ganadería;0;
2014;Municipios;0941;Navalafuente;Agricultura y ganadería;12;
2014;Municipios;0954;Navalagamella;Agricultura y ganadería;14;
2014;Municipios;0967;Navalcarnero;Agricultura y ganadería;83;
2014;Municipios;0973;Navarredonda y San Mamés;Agricultura y ganadería;2;
2014;Municipios;0992;Navas del Rey;Agricultura y ganadería;8;
2014;Municipios;1006;Nuevo Baztán;Agricultura y ganadería;5;
2014;Municipios;1013;Olmeda de las Fuentes;Agricultura y ganadería;8;
2014;Municipios;1028;Orusco de Tajuña;Agricultura y ganadería;4;
2014;Municipios;1049;Paracuellos de Jarama;Agricultura y ganadería;16;
2014;Municipios;1065;Parla;Agricultura y ganadería;67;
2014;Municipios;1071;Patones;Agricultura y ganadería;4;
2014;Municipios;1087;Pedrezuela;Agricultura y ganadería;11;
2014;Municipios;1090;Pelayos de la Presa;Agricultura y ganadería;2;
2014;Municipios;1104;Perales de Tajuña;Agricultura y ganadería;13;
2014;Municipios;1111;Pezuela de las Torres;Agricultura y ganadería;14;
2014;Municipios;1126;Pinilla del Valle;Agricultura y ganadería;5;
2014;Municipios;1132;Pinto;Agricultura y ganadería;34;
2014;Municipios;1147;Piñuécar-Gandullas;Agricultura y ganadería;8;
2014;Municipios;1150;Pozuelo de Alarcón;Agricultura y ganadería;45;
2014;Municipios;1163;Pozuelo del Rey;Agricultura y ganadería;9;
2014;Municipios;1179;Prádena del Rincón;Agricultura y ganadería;6;
2014;Municipios;1185;Puebla de la Sierra;Agricultura y ganadería;7;
2014;Municipios;9020;Puentes Viejas;Agricultura y ganadería;6;
2014;Municipios;1198;Quijorna;Agricultura y ganadería;10;
2014;Municipios;1202;Rascafría;Agricultura y ganadería;43;
2014;Municipios;1219;Redueña;Agricultura y ganadería;3;
2014;Municipios;1224;Ribatejada;Agricultura y ganadería;3;
2014;Municipios;1230;Rivas-Vaciamadrid;Agricultura y ganadería;29;
2014;Municipios;1245;Robledillo de la Jara;Agricultura y ganadería;0;
2014;Municipios;1258;Robledo de Chavela;Agricultura y ganadería;51;
2014;Municipios;1261;Robregordo;Agricultura y ganadería;1;
2014;Municipios;1277;Rozas de Madrid (Las);Agricultura y ganadería;37;
2014;Municipios;1283;Rozas de Puerto Real;Agricultura y ganadería;3;
2014;Municipios;1296;San Agustín del Guadalix;Agricultura y ganadería;19;
2014;Municipios;1300;San Fernando de Henares;Agricultura y ganadería;17;
2014;Municipios;1317;San Lorenzo de El Escorial;Agricultura y ganadería;40;
2014;Municipios;1322;San Martín de la Vega;Agricultura y ganadería;82;
2014;Municipios;1338;San Martín de Valdeiglesias;Agricultura y ganadería;44;
