Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2016;Municipios;0014;Acebeda (La);88.477;
2016;Municipios;0029;Ajalvir;34.911;
2016;Municipios;0035;Alameda del Valle;92.242;
2016;Municipios;0040;Álamo (El);42.104;
2016;Municipios;0053;Alcalá de Henares;32.760;
2016;Municipios;0066;Alcobendas;18.193;
2016;Municipios;0072;Alcorcón;18.087;
2016;Municipios;0088;Aldea del Fresno;56.001;
2016;Municipios;0091;Algete;32.758;
2016;Municipios;0105;Alpedrete;43.979;
2016;Municipios;0112;Ambite;54.784;
2016;Municipios;0127;Anchuelo;42.201;
2016;Municipios;0133;Aranjuez;48.903;
2016;Municipios;0148;Arganda del Rey;28.644;
2016;Municipios;0151;Arroyomolinos;31.450;
2016;Municipios;0164;Atazar (El);84.846;
2016;Municipios;0170;Batres;37.802;
2016;Municipios;0186;Becerril de la Sierra;50.448;
2016;Municipios;0199;Belmonte de Tajo;57.499;
2016;Municipios;0210;Berrueco (El);66.347;
2016;Municipios;0203;Berzosa del Lozoya;82.228;
2016;Municipios;0225;Boadilla del Monte;24.652;
2016;Municipios;0231;Boalo (El);55.387;
2016;Municipios;0246;Braojos;83.276;
2016;Municipios;0259;Brea de Tajo;65.168;
2016;Municipios;0262;Brunete;38.308;
2016;Municipios;0278;Buitrago del Lozoya;76.377;
2016;Municipios;0284;Bustarviejo;64.721;
2016;Municipios;0297;Cabanillas de la Sierra;55.486;
2016;Municipios;0301;Cabrera (La);60.420;
2016;Municipios;0318;Cadalso de los Vidrios;89.965;
2016;Municipios;0323;Camarma de Esteruelas;37.479;
2016;Municipios;0339;Campo Real;34.635;
2016;Municipios;0344;Canencia;82.184;
2016;Municipios;0357;Carabaña;53.449;
2016;Municipios;0360;Casarrubuelos;33.936;
2016;Municipios;0376;Cenicientos;95.124;
2016;Municipios;0382;Cercedilla;57.007;
2016;Municipios;0395;Cervera de Buitrago;82.105;
2016;Municipios;0513;Chapinería;57.258;
2016;Municipios;0528;Chinchón;45.592;
2016;Municipios;0409;Ciempozuelos;35.540;
2016;Municipios;0416;Cobeña;34.590;
2016;Municipios;0468;Collado Mediano;47.487;
2016;Municipios;0474;Collado Villalba;42.565;
2016;Municipios;0437;Colmenar de Oreja;57.211;
2016;Municipios;0421;Colmenar del Arroyo;61.175;
2016;Municipios;0455;Colmenar Viejo;32.965;
2016;Municipios;0442;Colmenarejo;37.111;
2016;Municipios;0480;Corpa;46.516;
2016;Municipios;0493;Coslada;12.887;
2016;Municipios;0506;Cubas de la Sagra;36.177;
2016;Municipios;0534;Daganzo de Arriba;36.597;
2016;Municipios;0549;Escorial (El);51.323;
2016;Municipios;0552;Estremera;72.696;
2016;Municipios;0565;Fresnedillas de la Oliva;69.753;
2016;Municipios;0571;Fresno de Torote;46.990;
2016;Municipios;0587;Fuenlabrada;25.824;
2016;Municipios;0590;Fuente el Saz de Jarama;36.187;
2016;Municipios;0604;Fuentidueña de Tajo;63.685;
2016;Municipios;0611;Galapagar;35.516;
2016;Municipios;0626;Garganta de los Montes;79.318;
2016;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;81.426;
2016;Municipios;0647;Gascones;80.024;
2016;Municipios;0650;Getafe;17.416;
2016;Municipios;0663;Griñón;33.337;
2016;Municipios;0679;Guadalix de la Sierra;58.847;
2016;Municipios;0685;Guadarrama;50.794;
2016;Municipios;0698;Hiruela (La);97.734;
2016;Municipios;0702;Horcajo de la Sierra-Aoslos;89.479;
2016;Municipios;0719;Horcajuelo de la Sierra;94.536;
2016;Municipios;0724;Hoyo de Manzanares;36.584;
2016;Municipios;0730;Humanes de Madrid;31.246;
2016;Municipios;0745;Leganés;16.847;
2016;Municipios;0758;Loeches;28.433;
2016;Municipios;0761;Lozoya;85.605;
2016;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;68.104;
2016;Municipios;0783;Madarcos;92.498;
2016;Municipios;0796;Madrid;0.000;
2016;Municipios;0800;Majadahonda;19.700;
2016;Municipios;0822;Manzanares el Real;51.894;
2016;Municipios;0838;Meco;48.983;
2016;Municipios;0843;Mejorada del Campo;21.041;
2016;Municipios;0856;Miraflores de la Sierra;55.446;
2016;Municipios;0869;Molar (El);43.648;
2016;Municipios;0875;Molinos (Los);55.681;
2016;Municipios;0881;Montejo de la Sierra;87.651;
2016;Municipios;0894;Moraleja de Enmedio;27.170;
2016;Municipios;0908;Moralzarzal;46.641;
2016;Municipios;0915;Morata de Tajuña;34.745;
2016;Municipios;0920;Móstoles;24.488;
2016;Municipios;0936;Navacerrada;52.561;
2016;Municipios;0941;Navalafuente;59.831;
2016;Municipios;0954;Navalagamella;56.822;
2016;Municipios;0967;Navalcarnero;36.609;
2016;Municipios;0973;Navarredonda y San Mamés;85.319;
2016;Municipios;0992;Navas del Rey;60.506;
2016;Municipios;1006;Nuevo Baztán;48.300;
2016;Municipios;1013;Olmeda de las Fuentes;53.406;
