cod_municipio,municipio,latitud,longitud,altitud,poblacion
14,Acebeda (La),41.08697,-3.624634,1266.542,68.0
29,Ajalvir,40.53437,-3.481002,680.1722,4946.0
35,Alameda del Valle,40.9179,-3.843788,1109.934,256.0
40,Álamo (El),40.22972,-3.992688,606.2238,10413.0
88,Aldea del Fresno,40.32399,-4.202217,476.7994,3422.0
91,Algete,40.59642,-3.497902,712.8972,21134.0
105,Alpedrete,40.65875,-4.023713,916.7029,15655.0
112,Ambite,40.3292,-3.181895,667.338,701.0
127,Anchuelo,40.46549,-3.268585,761.7067,1393.0
151,Arroyomolinos,40.26884,-3.920291,597.4142,37299.0
164,Atazar (El),40.93333,-3.466667,900.2352,107.0
170,Batres,40.21029,-3.922307,603.6849,1957.0
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,6553.0
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,1919.0
210,Berrueco (El),40.88814,-3.561255,937.1234,828.0
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,234.0
231,Boalo (El),40.71746,-3.920084,953.0439,8548.0
246,Braojos,41.04005,-3.643112,1189.477,219.0
259,Brea de Tajo,40.23012,-3.109499,722.8417,567.0
262,Brunete,40.40554,-3.997736,654.7903,11263.0
278,Buitrago del Lozoya,40.99368,-3.636723,977.8387,1970.0
284,Bustarviejo,40.85811,-3.70969,1217.359,2833.0
297,Cabanillas de la Sierra,40.81968,-3.626066,921.8676,949.0
301,Cabrera (La),40.86399,-3.615572,1040.395,2952.0
318,Cadalso de los Vidrios,40.30094,-4.443737,799.9886,3274.0
323,Camarma de Esteruelas,40.54861,-3.377597,639.19,8107.0
339,Campo Real,40.33815,-3.380982,765.6791,6766.0
344,Canencia,40.90981,-3.737718,1142.31,468.0
357,Carabaña,40.25669,-3.234641,612.9524,2375.0
360,Casarrubuelos,40.17114,-3.833068,624.7643,4225.0
376,Cenicientos,40.26463,-4.464909,778.7822,2141.0
382,Cercedilla,40.74145,-4.054667,1191.372,7646.0
395,Cervera de Buitrago,40.92196,-3.53016,916.3304,161.0
513,Chapinería,40.37918,-4.20943,679.6159,2634.0
528,Chinchón,40.14019,-3.415684,777.1609,5820.0
409,Ciempozuelos,40.15934,-3.6184,580.2641,26046.0
416,Cobeña,40.56733,-3.504839,677.4468,7742.0
468,Collado Mediano,40.69389,-4.023123,1029.724,7564.0
437,Colmenar de Oreja,40.10758,-3.387693,756.9265,8982.0
421,Colmenar del Arroyo,40.41858,-4.198538,679.1825,2013.0
