Cultura y ocio.Actividades culturales.Otros. Total bienes de interés cultural. Unidad: Número. Fuente: Dirección General de Patrimonio Cultural y Oficina del Español. Consejería de Cultura, Turismo.y Deporte;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;209,00;212,00;213,00;213,00;214,00;218,00;222,00;228,00;229,00;229,00;231,00;235,00;238,00;247,00;251,00;257,00;263,00;269,00;274,00;
Zonas Estadísticas;01;Municipio de Madrid ;99,00;100,00;101,00;101,00;102,00;104,00;105,00;110,00;111,00;111,00;111,00;113,00;116,00;119,00;120,00;121,00;123,00;125,00;127,00;
Zonas Estadísticas;02;Norte Metropolitano ;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;3,00;
Zonas Estadísticas;03;Este Metropolitano  ;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;18,00;19,00;19,00;19,00;20,00;21,00;21,00;
Zonas Estadísticas;04;Sur Metropolitano   ;10,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;11,00;12,00;12,00;12,00;13,00;13,00;13,00;13,00;14,00;15,00;
Zonas Estadísticas;05;Oeste Metropolitano ;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;8,00;9,00;9,00;9,00;10,00;10,00;10,00;11,00;13,00;13,00;
Zonas Estadísticas;06;Sierra Norte        ;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;19,00;20,00;21,00;22,00;22,00;22,00;23,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;9,00;9,00;9,00;9,00;9,00;9,00;10,00;10,00;10,00;10,00;10,00;11,00;11,00;11,00;11,00;11,00;12,00;12,00;12,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;19,00;19,00;19,00;19,00;19,00;21,00;22,00;23,00;23,00;23,00;23,00;24,00;24,00;25,00;26,00;27,00;27,00;27,00;27,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;11,00;11,00;11,00;
Zonas Estadísticas;10;Sierra Sur          ;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;7,00;8,00;9,00;11,00;11,00;11,00;11,00;
Zonas Estadísticas;11;Sierra Central      ;7,00;8,00;8,00;8,00;8,00;8,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;9,00;10,00;10,00;10,00;11,00;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
Municipios;0035;Alameda del Valle;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
