Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2006;Comunidad de Madrid;;Comunidad de Madrid;3.73;
2006;Municipios;0014;Acebeda (La);1.69;
2006;Municipios;0029;Ajalvir;3.10;
2006;Municipios;0035;Alameda del Valle;5.93;
2006;Municipios;0040;Álamo (El);3.50;
2006;Municipios;0053;Alcalá de Henares;4.39;
2006;Municipios;0066;Alcobendas;2.91;
2006;Municipios;0072;Alcorcón;4.43;
2006;Municipios;0088;Aldea del Fresno;4.80;
2006;Municipios;0091;Algete;2.98;
2006;Municipios;0105;Alpedrete;3.44;
2006;Municipios;0112;Ambite;3.30;
2006;Municipios;0127;Anchuelo;3.97;
2006;Municipios;0133;Aranjuez;4.43;
2006;Municipios;0148;Arganda del Rey;3.71;
2006;Municipios;0151;Arroyomolinos;3.80;
2006;Municipios;0164;Atazar (El);4.31;
2006;Municipios;0170;Batres;3.11;
2006;Municipios;0186;Becerril de la Sierra;4.22;
2006;Municipios;0199;Belmonte de Tajo;3.00;
2006;Municipios;0210;Berrueco (El);5.52;
2006;Municipios;0203;Berzosa del Lozoya;8.38;
2006;Municipios;0225;Boadilla del Monte;2.35;
2006;Municipios;0231;Boalo (El);2.58;
2006;Municipios;0246;Braojos;4.55;
2006;Municipios;0259;Brea de Tajo;4.26;
2006;Municipios;0262;Brunete;2.79;
2006;Municipios;0278;Buitrago del Lozoya;3.82;
2006;Municipios;0284;Bustarviejo;3.93;
2006;Municipios;0297;Cabanillas de la Sierra;2.78;
2006;Municipios;0301;Cabrera (La);3.29;
2006;Municipios;0318;Cadalso de los Vidrios;6.42;
2006;Municipios;0323;Camarma de Esteruelas;4.19;
2006;Municipios;0339;Campo Real;3.32;
2006;Municipios;0344;Canencia;4.22;
2006;Municipios;0357;Carabaña;4.26;
2006;Municipios;0360;Casarrubuelos;4.46;
2006;Municipios;0376;Cenicientos;7.79;
2006;Municipios;0382;Cercedilla;2.96;
2006;Municipios;0395;Cervera de Buitrago;4.00;
2006;Municipios;0513;Chapinería;5.37;
2006;Municipios;0528;Chinchón;3.78;
2006;Municipios;0409;Ciempozuelos;3.81;
2006;Municipios;0416;Cobeña;2.26;
2006;Municipios;0468;Collado Mediano;3.82;
2006;Municipios;0474;Collado Villalba;4.21;
2006;Municipios;0437;Colmenar de Oreja;3.50;
2006;Municipios;0421;Colmenar del Arroyo;2.77;
2006;Municipios;0455;Colmenar Viejo;2.92;
2006;Municipios;0442;Colmenarejo;3.27;
2006;Municipios;0480;Corpa;4.58;
2006;Municipios;0493;Coslada;3.84;
2006;Municipios;0506;Cubas de la Sagra;3.32;
2006;Municipios;0534;Daganzo de Arriba;3.64;
2006;Municipios;0549;Escorial (El);2.96;
2006;Municipios;0552;Estremera;3.08;
2006;Municipios;0565;Fresnedillas de la Oliva;4.86;
2006;Municipios;0571;Fresno de Torote;4.03;
2006;Municipios;0587;Fuenlabrada;4.64;
2006;Municipios;0590;Fuente el Saz de Jarama;2.75;
2006;Municipios;0604;Fuentidueña de Tajo;5.67;
2006;Municipios;0611;Galapagar;3.72;
2006;Municipios;0626;Garganta de los Montes;4.05;
2006;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1.91;
2006;Municipios;0647;Gascones;1.36;
2006;Municipios;0650;Getafe;4.54;
2006;Municipios;0663;Griñón;3.17;
2006;Municipios;0679;Guadalix de la Sierra;3.43;
2006;Municipios;0685;Guadarrama;3.85;
2006;Municipios;0698;Hiruela (La);1.32;
2006;Municipios;0702;Horcajo de la Sierra-Aoslos;4.79;
2006;Municipios;0719;Horcajuelo de la Sierra;1.87;
2006;Municipios;0724;Hoyo de Manzanares;2.61;
2006;Municipios;0730;Humanes de Madrid;5.36;
2006;Municipios;0745;Leganés;4.37;
2006;Municipios;0758;Loeches;3.25;
2006;Municipios;0761;Lozoya;1.77;
2006;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;3.58;
2006;Municipios;0783;Madarcos;2.44;
2006;Municipios;0796;Madrid;3.56;
2006;Municipios;0800;Majadahonda;2.60;
2006;Municipios;0822;Manzanares el Real;3.76;
2006;Municipios;0838;Meco;3.85;
2006;Municipios;0843;Mejorada del Campo;3.97;
2006;Municipios;0856;Miraflores de la Sierra;3.01;
2006;Municipios;0869;Molar (El);2.98;
2006;Municipios;0875;Molinos (Los);2.82;
2006;Municipios;0881;Montejo de la Sierra;1.82;
2006;Municipios;0894;Moraleja de Enmedio;3.46;
2006;Municipios;0908;Moralzarzal;3.22;
2006;Municipios;0915;Morata de Tajuña;3.59;
2006;Municipios;0920;Móstoles;4.88;
2006;Municipios;0936;Navacerrada;3.90;
2006;Municipios;0941;Navalafuente;4.11;
2006;Municipios;0954;Navalagamella;2.77;
2006;Municipios;0967;Navalcarnero;4.56;
2006;Municipios;0973;Navarredonda y San Mamés;1.39;
2006;Municipios;0992;Navas del Rey;5.02;
2006;Municipios;1006;Nuevo Baztán;3.71;
2006;Municipios;1013;Olmeda de las Fuentes;4.25;
2006;Municipios;1028;Orusco de Tajuña;5.21;
2006;Municipios;1049;Paracuellos de Jarama;2.89;
2006;Municipios;1065;Parla;4.97;
2006;Municipios;1071;Patones;4.76;
2006;Municipios;1087;Pedrezuela;2.53;
2006;Municipios;1090;Pelayos de la Presa;4.71;
2006;Municipios;1104;Perales de Tajuña;3.52;
2006;Municipios;1111;Pezuela de las Torres;3.53;
2006;Municipios;1126;Pinilla del Valle;1.96;
2006;Municipios;1132;Pinto;3.64;
2006;Municipios;1147;Piñuécar-Gandullas;2.72;
2006;Municipios;1150;Pozuelo de Alarcón;2.19;
2006;Municipios;1163;Pozuelo del Rey;3.32;
2006;Municipios;1179;Prádena del Rincón;3.74;
2006;Municipios;1185;Puebla de la Sierra;4.85;
2006;Municipios;9020;Puentes Viejas;6.36;
