Año,Tipo territorio,Código territorio,Territorio,Medida,Valor
2024,Comunidad de Madrid,,Comunidad de Madrid,Por 10.000 habitantes,4
2024,Municipios,14,Acebeda (La),Por 10.000 habitantes,0
2024,Municipios,29,Ajalvir,Por 10.000 habitantes,2
2024,Municipios,35,Alameda del Valle,Por 10.000 habitantes,39
2024,Municipios,40,Álamo (El),Por 10.000 habitantes,2
2024,Municipios,53,Alcalá de Henares,Por 10.000 habitantes,3
2024,Municipios,66,Alcobendas,Por 10.000 habitantes,3
2024,Municipios,72,Alcorcón,Por 10.000 habitantes,4
2024,Municipios,88,Aldea del Fresno,Por 10.000 habitantes,3
2024,Municipios,91,Algete,Por 10.000 habitantes,3
2024,Municipios,105,Alpedrete,Por 10.000 habitantes,2
2024,Municipios,112,Ambite,Por 10.000 habitantes,14
2024,Municipios,127,Anchuelo,Por 10.000 habitantes,7
2024,Municipios,133,Aranjuez,Por 10.000 habitantes,3
2024,Municipios,148,Arganda del Rey,Por 10.000 habitantes,3
2024,Municipios,151,Arroyomolinos,Por 10.000 habitantes,3
2024,Municipios,164,Atazar (El),Por 10.000 habitantes,0
2024,Municipios,170,Batres,Por 10.000 habitantes,5
2024,Municipios,186,Becerril de la Sierra,Por 10.000 habitantes,3
2024,Municipios,199,Belmonte de Tajo,Por 10.000 habitantes,5
2024,Municipios,210,Berrueco (El),Por 10.000 habitantes,12
2024,Municipios,203,Berzosa del Lozoya,Por 10.000 habitantes,0
2024,Municipios,225,Boadilla del Monte,Por 10.000 habitantes,2
2024,Municipios,231,Boalo (El),Por 10.000 habitantes,4
2024,Municipios,246,Braojos,Por 10.000 habitantes,46
2024,Municipios,259,Brea de Tajo,Por 10.000 habitantes,17
2024,Municipios,262,Brunete,Por 10.000 habitantes,3
2024,Municipios,278,Buitrago del Lozoya,Por 10.000 habitantes,5
2024,Municipios,284,Bustarviejo,Por 10.000 habitantes,4
2024,Municipios,297,Cabanillas de la Sierra,Por 10.000 habitantes,11
2024,Municipios,301,Cabrera (La),Por 10.000 habitantes,3
2024,Municipios,318,Cadalso de los Vidrios,Por 10.000 habitantes,3
2024,Municipios,323,Camarma de Esteruelas,Por 10.000 habitantes,2
2024,Municipios,339,Campo Real,Por 10.000 habitantes,3
2024,Municipios,344,Canencia,Por 10.000 habitantes,21
2024,Municipios,357,Carabaña,Por 10.000 habitantes,4
2024,Municipios,360,Casarrubuelos,Por 10.000 habitantes,5
2024,Municipios,376,Cenicientos,Por 10.000 habitantes,5
2024,Municipios,382,Cercedilla,Por 10.000 habitantes,4
2024,Municipios,395,Cervera de Buitrago,Por 10.000 habitantes,0
2024,Municipios,513,Chapinería,Por 10.000 habitantes,4
2024,Municipios,528,Chinchón,Por 10.000 habitantes,3
2024,Municipios,409,Ciempozuelos,Por 10.000 habitantes,3
2024,Municipios,416,Cobeña,Por 10.000 habitantes,3
2024,Municipios,468,Collado Mediano,Por 10.000 habitantes,3
2024,Municipios,474,Collado Villalba,Por 10.000 habitantes,3
2024,Municipios,437,Colmenar de Oreja,Por 10.000 habitantes,3
2024,Municipios,421,Colmenar del Arroyo,Por 10.000 habitantes,5
2024,Municipios,455,Colmenar Viejo,Por 10.000 habitantes,3
2024,Municipios,442,Colmenarejo,Por 10.000 habitantes,2
2024,Municipios,480,Corpa,Por 10.000 habitantes,13
2024,Municipios,493,Coslada,Por 10.000 habitantes,4
2024,Municipios,506,Cubas de la Sagra,Por 10.000 habitantes,3
2024,Municipios,534,Daganzo de Arriba,Por 10.000 habitantes,2
2024,Municipios,549,Escorial (El),Por 10.000 habitantes,3
2024,Municipios,552,Estremera,Por 10.000 habitantes,7
2024,Municipios,565,Fresnedillas de la Oliva,Por 10.000 habitantes,5
2024,Municipios,571,Fresno de Torote,Por 10.000 habitantes,4
2024,Municipios,587,Fuenlabrada,Por 10.000 habitantes,3
2024,Municipios,590,Fuente el Saz de Jarama,Por 10.000 habitantes,4
2024,Municipios,604,Fuentidueña de Tajo,Por 10.000 habitantes,4
2024,Municipios,611,Galapagar,Por 10.000 habitantes,3
2024,Municipios,626,Garganta de los Montes,Por 10.000 habitantes,24
2024,Municipios,632,Gargantilla del Lozoya y Pinilla de Buitrago,Por 10.000 habitantes,25
2024,Municipios,647,Gascones,Por 10.000 habitantes,0
2024,Municipios,650,Getafe,Por 10.000 habitantes,3
2024,Municipios,663,Griñón,Por 10.000 habitantes,2
2024,Municipios,679,Guadalix de la Sierra,Por 10.000 habitantes,3
