cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max,distancia_capital,cultura,n_gym_10mil,n_restaurant_10mil,n_pharmacy_10mil,n_school_10mil,paro_total_10mil,afiliados_construcción_10mil,afiliados_agricultura_y_ganadería_10mil,afiliados_minería_industria_y_energía_10mil,afiliados_servicios_a_empresas_y_financieros_10mil,afiliados_servicios_de_distribución_y_hostelería_10mil,afiliados_otros_servicios_10mil,afiliados_total_10mil,alumnos_total_10mil
14,Acebeda (La),41.08697,-3.624634,1266.542,68.0,0,0,4.429228629815559,4.429228629815559,4.429228629815559,4817,4.152875233547851,3.8,4.6,3,0.0,0.0,0.0,7,5.0,5.0,5.0,27,15,4.4,2.0,5.0,88.477,0.0,147.05882352941177,1617.6470588235295,147.05882352941177,441.1764705882353,441.1764705882353,147.05882352941177,0.0,294.11764705882354,1176.4705882352941,1617.6470588235295,1176.4705882352941,4411.764705882353,0.0
29,Ajalvir,40.53437,-3.481002,680.1722,4946.0,0,1563,4.438067818298144,3.0,5.0,32459,4.041634061431345,3.3,4.9,1565,4.458210862619808,3.6,4.9,1426,4.902314165497896,4.8,5.0,24,19,4.321052631578947,3.0,4.8,34.911,0.0,40.43671653861706,40.43671653861706,32.34937323089365,40.43671653861706,357.864941366761,222.40194096239387,30.3275374039628,511.52446421350584,1053.3764658309744,1397.0885564092196,1168.6211079660332,4383.34007278609,2701.1726647796195
35,Alameda del Valle,40.9179,-3.843788,1109.934,256.0,0,0,4.429228629815559,4.429228629815559,4.429228629815559,15485,4.383519535033904,3.4,5.0,41,4.190243902439025,3.6,4.7,131,4.7,4.7,4.7,22,39,4.4,2.0,5.0,92.242,0.0,39.0625,781.25,117.1875,234.375,664.0625,117.1875,156.25,156.25,781.25,1054.6875,1210.9375,3476.5625,0.0
40,Álamo (El),40.22972,-3.992688,606.2238,10413.0,0,2401,4.334069137859225,3.8,5.0,12296,4.242664281067014,3.0,4.7,625,4.3224,3.5,5.0,50,4.806,4.3,5.0,22,12,3.983333333333333,2.0,5.0,42.104,0.0,18.246422740804764,19.206760779794486,13.444732545856143,19.206760779794486,502.2567943916258,356.2854124651878,21.127436857773933,306.3478344377221,742.341304139057,1077.4992797464708,1117.833477384039,3621.4347450302507,4075.6746374723903
88,Aldea del Fresno,40.32399,-4.202217,476.7994,3422.0,0,147,4.696598639455782,3.0,4.8,5831,4.339821642942892,3.9,5.0,92,4.393478260869564,3.8,4.8,719,4.71835883171071,4.0,5.0,24,28,4.228571428571428,3.0,5.0,56.001,0.0,11.689070718877849,58.445353594389246,11.689070718877849,32.144944476914084,596.1426066627703,435.41788427819984,78.90122735242548,204.55873758036236,622.4430157802454,827.0017533606077,993.5710111046171,3161.8936294564583,1654.0035067212154
91,Algete,40.59642,-3.497902,712.8972,21134.0,0,1223,4.753475061324612,1.8,5.0,18232,4.227396884598509,3.4,4.7,767,4.436505867014342,3.8,4.9,167,4.926347305389221,4.8,5.0,28,29,3.768965517241379,1.0,5.0,32.758,1.0,9.463423866754992,9.463423866754992,7.097567900066244,9.463423866754992,359.13693574335196,292.4197974827292,23.65855966688748,439.1028674174316,1440.8062837134476,1359.8940096526924,1079.3034920034067,4635.185009936595,4286.931011640011
105,Alpedrete,40.65875,-4.023713,916.7029,15655.0,0,3702,4.451674770394381,3.6,5.0,30753,4.055262901180373,3.3,4.6,8318,3.999675402741043,1.8,5.0,203,4.78128078817734,4.6,5.0,32,580,3.685689655172414,2.0,5.0,43.979,0.0,12.775471095496647,12.775471095496647,12.775471095496647,12.775471095496647,382.62535931012457,244.65027147876077,7.026509102523155,210.79527307569467,1317.789843500479,1122.3251357393804,1416.799744490578,4319.386777387416,3717.662088789524
112,Ambite,40.3292,-3.181895,667.338,701.0,0,0,4.429228629815559,4.429228629815559,4.429228629815559,7542,4.031012993900822,3.2,4.7,137,4.391970802919708,3.4,5.0,19,4.578947368421052,4.5,5.0,20,9,4.333333333333333,1.0,5.0,54.784,0.0,28.530670470756064,285.30670470756064,85.59201141226819,199.71469329529242,641.9400855920114,342.36804564907277,28.530670470756064,370.89871611982886,684.7360912981455,898.716119828816,1084.1654778887305,3409.4151212553497,370.89871611982886
127,Anchuelo,40.46549,-3.268585,761.7067,1393.0,0,1296,4.452623456790124,2.3,5.0,9229,4.381027196879401,3.9,5.0,270,4.265185185185185,2.9,5.0,436,4.796100917431193,4.1,5.0,21,17,3.835294117647059,1.0,5.0,42.201,0.0,143.57501794687724,143.57501794687724,86.14501076812634,129.21751615218952,488.15506101938263,337.40129217516153,57.4300071787509,531.2275664034458,811.1988513998564,1148.600143575018,818.3776022972003,3704.2354630294326,2368.9877961234747
151,Arroyomolinos,40.26884,-3.920291,597.4142,37299.0,0,4827,3.953345763414129,3.3,5.0,21086,4.039504884757659,2.7,4.5,1136,4.2311619718309865,3.6,5.0,443,4.422573363431151,4.0,5.0,33,178,4.033707865168539,1.0,5.0,31.45,1.0,5.362074050242634,5.362074050242634,5.362074050242634,5.362074050242634,335.6658355451889,275.34250247995925,4.289659240194107,250.14075444381885,1093.5950025469851,1149.896780074533,1174.830424408161,3948.095123193651,5202.820450950428
