cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,farmacias_10mil,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value,paro_total,distancia_capital,afiliados_agricultura_y_ganadería,afiliados_construcción,afiliados_minería_industria_y_energía,afiliados_otros_servicios,afiliados_servicios_a_empresas_y_financieros,afiliados_servicios_de_distribución_y_hostelería,afiliados_total,alumnos_total,cultura,g_bomberos_rating_min,g_bomberos_rating_max,g_cines_rating_min,g_cines_rating_max,g_centros_comerciales_rating_min,g_centros_comerciales_rating_max,g_comisarias_rating_min,g_comisarias_rating_max,g_gimnasios_rating_min,g_gimnasios_rating_max,g_medicos_familia_rating_min,g_medicos_familia_rating_max,g_conveniencia_rating_min,g_conveniencia_rating_max,g_cajeros_rating_min,g_cajeros_rating_max,g_bancos_rating_min,g_bancos_rating_max,g_colegios_institutos_rating_min,g_colegios_institutos_rating_max,g_cafeterias_rating_min,g_cafeterias_rating_max,g_gasolineras_rating_min,g_gasolineras_rating_max,g_aparcamientos_rating_min,g_aparcamientos_rating_max,g_estaciones_principales_rating_min,g_estaciones_principales_rating_max,g_farmacias_rating_min,g_farmacias_rating_max,g_ayuntamientos_rating_min,g_ayuntamientos_rating_max,g_supermercados_rating_min,g_supermercados_rating_max
14,Acebeda (La),41.08697,-3.624634,1266.542,68.0,0,0,1,77,4.2,0,0,0.0,1,3,5.0,0,0,0.0,0,0,0.0,5,1676,3.822,21,2043,4.676,1,0,4.053031496062992,20,2042,4.676,3,7,5.0,20,2042,4.676,27,2051,4.676,20,6,4.0,4,45,4.347,11,4842,4.153,2,2690,3.9,8,2439,4.488,0,0,0.0,1,0,4.475327731092436,20,426,4.339,0,0,0.0,0,0,0.0,1,0,4.536947368421052,7,102,4.224,20,2042,4.676,71,441.9,2.91,37.21,8.85,7.97,0.87,3,88.477,0,1,2,8,8,11,30,0,0.0,4.536947368421052,4.536947368421052,0.0,0.0,0.0,0.0,0.0,0.0,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,0.0,0.0,0.0,0.0,0.0,0.0,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
29,Ajalvir,40.53437,-3.481002,680.1722,4946.0,0,2,20,9015,4.036,12,881,4.239,16,1575,4.463,18,439,2.881,20,370,2.934,20,4063,4.0,26,36618,4.119,20,965,4.017,20,36370,4.125,22,1488,4.896,20,36370,4.125,24,36372,4.125,20,17,4.3,20,51,4.114,20,32722,4.049,20,5038,4.225,20,9985,3.977,2,3308,4.001,20,1570,4.44,20,1705,4.206,6,34800,4.147,7,24,3.325,0,0,0.0,6,801,3.623,20,36370,4.125,72,472.18,27.28,19.81,31.47,17.01,2.74,177,34.911,15,110,253,578,521,691,2168,1336,0.0,0.0,0.0,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
35,Alameda del Valle,40.9179,-3.843788,1109.934,256.0,0,39,3,195,3.917,2,2,4.5,3,41,4.19,3,17,3.588,3,16,3.5,2,239,3.843,20,4869,4.525,0,0,0.0,20,4869,4.525,6,131,4.7,20,4869,4.525,22,4874,4.525,20,34,4.368,12,4814,4.132,20,15580,4.384,6,2567,4.484,20,13051,4.264,0,0,0.0,1,0,4.475327731092436,20,2046,4.519,1,50,4.0,1,9,4.1,0,0,0.0,4,153,3.75,20,4869,4.525,69,485.76,12.37,39.75,27.16,19.14,1.49,17,92.242,4,3,4,31,20,27,89,0,0.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,0.0,0.0,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
40,Álamo (El),40.22972,-3.992688,606.2238,10413.0,0,2,18,8578,4.134,8,1087,4.12,13,641,4.315,12,262,2.154,15,209,2.222,17,2507,3.93,26,7046,4.379,20,1739,4.492,20,6297,4.383,20,51,4.81,20,6297,4.383,22,6300,4.383,20,9,4.211,18,148,3.897,20,12411,4.239,20,6944,4.19,20,6280,4.139,0,0,0.0,20,2423,4.323,20,972,4.163,6,513,4.15,3,16,2.788,0,0,0.0,4,484,3.428,20,6297,4.383,81,410.78,21.02,15.48,16.95,12.07,0.98,523,42.104,22,371,319,1164,773,1122,3771,4244,0.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
88,Aldea del Fresno,40.32399,-4.202217,476.7994,3422.0,0,3,6,1509,4.27,1,17,4.5,4,93,4.398,4,34,2.229,5,11,2.945,4,363,4.086,22,1882,4.158,4,34,1.882,20,1850,4.195,11,728,4.718,20,1850,4.195,24,1862,4.197,20,16,4.044,11,39,2.205,20,5859,4.356,5,732,4.136,20,3299,4.193,2,15,5.0,4,148,4.697,20,9421,4.402,0,0,0.0,2,1,5.0,1,12,4.8,4,207,3.652,20,1850,4.195,78,144.54,7.25,27.64,13.55,13.55,2.59,204,56.001,27,149,70,340,213,283,1082,566,0.0,4.536947368421052,4.536947368421052,4.356607843137255,4.356607843137255,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
91,Algete,40.59642,-3.497902,712.8972,21134.0,0,3,20,11039,4.087,8,1026,4.2,15,790,4.443,16,394,2.508,19,285,2.628,18,2451,3.99,25,4463,4.067,19,485,3.626,20,4064,4.065,23,198,4.937,21,4064,4.065,28,4074,4.065,20,15,3.66,14,58,4.198,20,17937,4.235,20,3188,4.231,20,5274,4.257,0,0,0.0,20,1244,4.755,20,1743,4.173,5,949,4.07,7,17,3.829,0,0,0.0,6,1027,3.567,20,4064,4.065,70,461.45,4.98,37.75,19.46,5.35,2.44,759,32.758,50,618,928,2281,3045,2874,9796,9060,1.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
105,Alpedrete,40.65875,-4.023713,916.7029,15655.0,0,2,20,23643,4.037,20,3276,3.926,20,8345,4.0,20,1014,2.838,20,843,2.925,20,6188,3.916,40,15899,3.953,20,4241,3.962,20,12563,4.001,27,217,4.777,25,12988,3.997,25,12594,4.0,26,507,3.666,20,456,3.939,20,30837,4.055,20,8595,4.288,20,19463,4.298,1,3543,4.0,20,3713,4.448,20,2347,4.368,15,20443,3.904,9,107,3.992,1,20,4.6,10,1908,3.544,20,12563,4.001,68,487.12,23.63,18.78,19.6,19.6,1.15,599,43.979,11,383,330,2218,2063,1757,6762,5820,0.0,4.536947368421052,4.536947368421052,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
112,Ambite,40.3292,-3.181895,667.338,701.0,0,14,9,793,3.905,1,1,5.0,6,138,4.396,4,26,2.077,6,24,2.0,6,472,4.012,20,1500,4.561,5,260,5.0,20,1500,4.561,14,19,4.579,20,1500,4.561,20,1500,4.561,20,9,4.333,14,7,4.714,20,7590,4.03,4,1346,4.254,20,3046,4.25,0,0,0.0,2,0,4.475327731092436,20,466,4.623,0,0,0.0,1,4,4.0,0,0,0.0,4,151,4.139,20,1500,4.561,81,113.97,10.55,24.52,10.16,9.0,1.98,45,54.784,2,24,26,76,48,63,239,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
127,Anchuelo,40.46549,-3.268585,761.7067,1393.0,0,7,11,8470,4.108,5,2208,4.093,12,272,4.253,2,86,4.098,6,69,4.591,8,2673,4.142,20,22905,4.026,3,3,1.0,20,22905,4.026,18,436,4.796,20,22905,4.026,21,22908,4.026,20,13,4.008,20,30,3.93,20,7369,4.403,14,7680,4.19,20,5070,3.891,0,0,0.0,20,1311,4.444,20,5871,4.211,2,16965,4.0,1,0,4.000368421052631,0,0,0.0,7,383,4.078,20,22905,4.026,72,434.46,28.39,15.17,31.75,16.37,2.67,68,42.201,8,47,74,114,113,160,516,330,0.0,0.0,0.0,0.0,0.0,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
151,Arroyomolinos,40.26884,-3.920291,597.4142,37299.0,0,3,20,22517,4.102,15,548,3.81,20,1161,4.3,19,702,3.14,20,545,3.389,20,6092,4.041,31,28471,4.069,20,4613,4.118,20,26502,4.114,29,446,4.423,22,26502,4.114,31,26517,4.113,22,163,4.104,20,40,4.103,20,21178,4.039,20,11440,4.202,20,16387,4.097,1,9844,4.4,20,4858,3.955,20,6200,4.364,10,80817,4.371,3,22,4.6,0,0,0.0,3,462,3.282,20,26502,4.114,81,502.31,25.77,11.42,18.02,11.54,0.55,1252,31.45,16,1027,933,4382,4079,4289,14726,19406,1.0,0.0,0.0,4.356607843137255,4.356607843137255,4.077411764705882,4.077411764705882,4.000368421052631,4.000368421052631,4.475327731092436,4.475327731092436,4.053031496062992,4.053031496062992,4.083746153846153,4.083746153846153,2.950320610687023,2.950320610687023,2.8033969465648854,2.8033969465648854,4.732145038167937,4.732145038167937,4.208292517006803,4.208292517006803,3.96391156462585,3.96391156462585,4.050594594594595,4.050594594594595,4.060059602649006,4.060059602649006,4.245099337748345,4.245099337748345,3.861651315789474,3.861651315789474,4.011285714285714,4.011285714285714
