cod_municipio,municipio,latitud,longitud,altitud,poblacion,centros_salud_10mil,farmacias_10mil,latitud_google_places,longitud_google_places,poblacion_google_places,n_gym,gym_total_reviews,gym_weighted_avg_rating,gym_rating_min,gym_rating_max,n_restaurant,restaurant_total_reviews,restaurant_weighted_avg_rating,restaurant_rating_min,restaurant_rating_max,n_pharmacy,pharmacy_total_reviews,pharmacy_weighted_avg_rating,pharmacy_rating_min,pharmacy_rating_max,n_school,school_total_reviews,school_weighted_avg_rating,school_rating_min,school_rating_max,n_transport,transport_total_reviews,transport_weighted_avg_rating,transport_rating_min,transport_rating_max,Año,Tipo territorio,Código territorio,Territorio,paro_total,Estado dato,Año_paro_por100,Tipo territorio_paro_por100,Código territorio_paro_por100,Territorio_paro_por100,paro_100,Estado dato_paro_por100,Año_distancia,Tipo territorio_distancia,Código territorio_distancia,Territorio_distancia,distancia_capital,Estado dato_distancia,afiliados_agricultura_y_ganadería,afiliados_construcción,afiliados_minería_industria_y_energía,afiliados_otros_servicios,afiliados_servicios_a_empresas_y_financieros,afiliados_servicios_de_distribución_y_hostelería,afiliados_total,alumnos_total,cultura,IPVA
14,Acebeda (La),41.08697,-3.624634,1266.542,68.0,0,0,41.08697,-3.624634,68.0,1,0,,,,11,4817,4.152875233547851,3.8,4.6,1,3,5.0,5.0,5.0,3,7,5.0,5.0,5.0,27,15,4.4,2.0,5.0,2025,Municipios,14.0,Acebeda (La),3,,2024,Municipios,14.0,Acebeda (La),2.94,,2016,Municipios,14,Acebeda (La),88.477,,0,1,2,8,8,11,30,0,0.0,
29,Ajalvir,40.53437,-3.481002,680.1722,4946.0,0,2,40.53437,-3.481002,4946.0,20,1563,4.438067818298144,3.0,5.0,20,32459,4.041634061431345,3.3,4.9,16,1565,4.458210862619808,3.6,4.9,20,1426,4.902314165497896,4.8,5.0,24,19,4.321052631578947,3.0,4.8,2025,Municipios,29.0,Ajalvir,177,,2024,Municipios,29.0,Ajalvir,3.87,,2016,Municipios,29,Ajalvir,34.911,,15,110,253,578,521,691,2168,1336,0.0,
35,Alameda del Valle,40.9179,-3.843788,1109.934,256.0,0,39,40.9179,-3.843788,256.0,1,0,,,,20,15485,4.383519535033904,3.4,5.0,3,41,4.190243902439025,3.6,4.7,6,131,4.7,4.7,4.7,22,39,4.4,2.0,5.0,2025,Municipios,35.0,Alameda del Valle,17,,2024,Municipios,35.0,Alameda del Valle,3.14,,2016,Municipios,35,Alameda del Valle,92.242,,4,3,4,31,20,27,89,0,0.0,
40,Álamo (El),40.22972,-3.992688,606.2238,10413.0,0,2,40.22972,-3.992688,10413.0,19,2401,4.334069137859225,3.8,5.0,20,12296,4.242664281067014,3.0,4.7,14,625,4.3224,3.5,5.0,20,50,4.806,4.3,5.0,22,12,3.983333333333333,2.0,5.0,2025,Municipios,40.0,Álamo (El),523,,2024,Municipios,40.0,Álamo (El),5.22,,2016,Municipios,40,Álamo (El),42.104,,22,371,319,1164,773,1122,3771,4244,0.0,
88,Aldea del Fresno,40.32399,-4.202217,476.7994,3422.0,0,3,40.32399,-4.202217,3422.0,4,147,4.696598639455782,3.0,4.8,20,5831,4.339821642942892,3.9,5.0,4,92,4.393478260869564,3.8,4.8,11,719,4.71835883171071,4.0,5.0,24,28,4.228571428571428,3.0,5.0,2025,Municipios,88.0,Aldea del Fresno,204,,2024,Municipios,88.0,Aldea del Fresno,5.9,,2016,Municipios,88,Aldea del Fresno,56.001,,27,149,70,340,213,283,1082,566,0.0,
91,Algete,40.59642,-3.497902,712.8972,21134.0,0,3,40.59642,-3.497902,21134.0,20,1223,4.753475061324612,1.8,5.0,20,18232,4.227396884598509,3.4,4.7,15,767,4.436505867014342,3.8,4.9,20,167,4.926347305389221,4.8,5.0,28,29,3.768965517241379,1.0,5.0,2025,Municipios,91.0,Algete,759,,2024,Municipios,91.0,Algete,3.77,,2016,Municipios,91,Algete,32.758,,50,618,928,2281,3045,2874,9796,9060,1.0,114.728
105,Alpedrete,40.65875,-4.023713,916.7029,15655.0,0,2,40.65875,-4.023713,15655.0,20,3702,4.451674770394381,3.6,5.0,20,30753,4.055262901180373,3.3,4.6,20,8318,3.999675402741043,1.8,5.0,20,203,4.78128078817734,4.6,5.0,32,580,3.685689655172414,2.0,5.0,2025,Municipios,105.0,Alpedrete,599,,2024,Municipios,105.0,Alpedrete,4.13,,2016,Municipios,105,Alpedrete,43.979,,11,383,330,2218,2063,1757,6762,5820,0.0,118.558
112,Ambite,40.3292,-3.181895,667.338,701.0,0,14,40.3292,-3.181895,701.0,2,0,,,,20,7542,4.031012993900822,3.2,4.7,6,137,4.391970802919708,3.4,5.0,14,19,4.578947368421052,4.5,5.0,20,9,4.333333333333333,1.0,5.0,2025,Municipios,112.0,Ambite,45,,2024,Municipios,112.0,Ambite,6.6,,2016,Municipios,112,Ambite,54.784,,2,24,26,76,48,63,239,26,0.0,
127,Anchuelo,40.46549,-3.268585,761.7067,1393.0,0,7,40.46549,-3.268585,1393.0,20,1296,4.452623456790124,2.3,5.0,20,9229,4.381027196879401,3.9,5.0,12,270,4.265185185185185,2.9,5.0,18,436,4.796100917431193,4.1,5.0,21,17,3.835294117647059,1.0,5.0,2025,Municipios,127.0,Anchuelo,68,,2024,Municipios,127.0,Anchuelo,5.17,,2016,Municipios,127,Anchuelo,42.201,,8,47,74,114,113,160,516,330,0.0,
151,Arroyomolinos,40.26884,-3.920291,597.4142,37299.0,0,3,40.26884,-3.920291,37299.0,20,4827,3.953345763414129,3.3,5.0,20,21086,4.039504884757659,2.7,4.5,20,1136,4.2311619718309865,3.6,5.0,20,443,4.422573363431151,4.0,5.0,33,178,4.033707865168539,1.0,5.0,2025,Municipios,151.0,Arroyomolinos,1252,,2024,Municipios,151.0,Arroyomolinos,3.53,,2016,Municipios,151,Arroyomolinos,31.45,,16,1027,933,4382,4079,4289,14726,19406,1.0,123.239
164,Atazar (El),40.93333,-3.466667,900.2352,107.0,0,0,40.93333,-3.466667,107.0,0,0,,,,6,2035,4.321081081081081,4.1,4.4,0,0,,,,0,0,,,,23,25,4.712,4.0,5.0,2025,Municipios,164.0,Atazar (El),10,,2024,Municipios,164.0,Atazar (El),5.61,,2016,Municipios,164,Atazar (El),84.846,,0,5,11,12,8,7,43,0,0.0,
170,Batres,40.21029,-3.922307,603.6849,1957.0,0,5,40.21029,-3.922307,1957.0,20,807,4.4169764560099125,3.9,5.0,20,14245,4.235500175500176,2.8,4.8,15,642,4.333956386292835,3.5,5.0,20,198,4.702525252525253,4.6,5.0,22,20,4.05,3.0,5.0,2025,Municipios,170.0,Batres,82,,2024,Municipios,170.0,Batres,4.84,,2016,Municipios,170,Batres,37.802,,0,52,52,212,163,186,665,118,2.0,
186,Becerril de la Sierra,40.71638,-3.989412,1086.586,6553.0,0,3,40.71638,-3.989412,6553.0,20,2045,4.385916870415648,4.2,5.0,20,19826,4.435186119237365,3.7,4.9,17,619,3.743780290791599,2.6,5.0,20,64,4.8078125,4.6,5.0,28,355,4.0600000000000005,2.3,5.0,2025,Municipios,186.0,Becerril de la Sierra,327,,2024,Municipios,186.0,Becerril de la Sierra,4.97,,2016,Municipios,186,Becerril de la Sierra,50.448,,12,246,144,787,712,770,2671,1272,0.0,
199,Belmonte de Tajo,40.13364,-3.339654,732.0183,1919.0,0,5,40.13364,-3.339654,1919.0,13,215,4.586976744186047,3.7,5.0,20,14356,4.2910420730008365,3.6,5.0,10,164,4.377439024390244,3.2,5.0,20,37,4.797297297297297,4.5,5.0,22,6,4.166666666666667,3.5,4.5,2025,Municipios,199.0,Belmonte de Tajo,108,,2024,Municipios,199.0,Belmonte de Tajo,6.26,,2016,Municipios,199,Belmonte de Tajo,57.499,,11,81,131,190,129,177,719,366,0.0,
210,Berrueco (El),40.88814,-3.561255,937.1234,828.0,0,12,40.88814,-3.561255,828.0,7,279,4.250896057347671,4.0,5.0,20,23612,4.154700999491784,3.8,5.0,3,87,3.717241379310345,3.6,4.2,8,0,,,,26,18,4.611111111111111,3.0,5.0,2025,Municipios,210.0,Berrueco (El),39,,2024,Municipios,210.0,Berrueco (El),5.64,,2016,Municipios,210,Berrueco (El),66.347,,2,32,11,90,36,67,238,12,1.0,
203,Berzosa del Lozoya,40.97594,-3.525082,1079.826,234.0,0,0,40.97594,-3.525082,234.0,0,0,,,,9,2553,4.376694085389738,4.2,4.6,1,15,5.0,5.0,5.0,0,0,,,,25,14,4.6571428571428575,4.0,5.0,2025,Municipios,203.0,Berzosa del Lozoya,3,,2024,Municipios,203.0,Berzosa del Lozoya,3.03,,2016,Municipios,203,Berzosa del Lozoya,82.228,,0,7,5,28,10,6,56,0,0.0,
231,Boalo (El),40.71746,-3.920084,953.0439,8548.0,0,4,40.71746,-3.920084,8548.0,20,2107,4.417892738490745,4.0,5.0,20,15125,4.391312396694215,4.1,4.9,11,409,3.615403422982885,2.6,5.0,20,102,4.813725490196078,3.7,5.0,26,53,3.749056603773585,1.0,5.0,2025,Municipios,231.0,Boalo (El),363,,2024,Municipios,231.0,Boalo (El),4.89,,2016,Municipios,231,Boalo (El),55.387,,29,291,204,1138,966,880,3508,3930,1.0,
246,Braojos,41.04005,-3.643112,1189.477,219.0,0,46,41.04005,-3.643112,219.0,1,0,,,,20,13919,4.006947338170845,2.8,4.7,3,53,2.8867924528301887,2.6,5.0,9,53,5.0,5.0,5.0,32,61,4.442622950819672,3.0,5.0,2025,Municipios,246.0,Braojos,7,,2024,Municipios,246.0,Braojos,1.83,,2016,Municipios,246,Braojos,83.276,,6,11,7,46,12,21,103,0,0.0,
