"";"Serie";"...2";"...3";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"1";"Comunidad de Madrid";NA;"Comunidad de Madrid";10915964759300;11255475773300;11718999900600;12500591510100;12990401557000;12986907680900;13619894337400;14760952023800;159806320346
"2";"Zonas Estadísticas";"01";"Municipio de Madrid";5983935882000;6192037970900;6397873595100;6834464700400;7091620809600;7017408869600;7296312490500;7898358115200;85393221995
"3";"Zonas Estadísticas";"02";"Norte Metropolitano";647531455100;673472915100;706171726300;766651164000;766920649400;771797918600;813853278000;890007559700;9661033124
"4";"Zonas Estadísticas";"03";"Este Metropolitano";859890357600;868386037000;930534505300;981025343300;1040467462300;1050820330500;1116220678800;1208656708900;13115164538
"5";"Zonas Estadísticas";"04";"Sur Metropolitano";1596587524200;1626055149300;1711362988500;1802453332400;1897861705800;1909130160900;2001805469000;2154392913800;23229027596
"6";"Zonas Estadísticas";"05";"Oeste Metropolitano";1108077159400;1155736085000;1191671750600;1282585132100;1299686956500;1310215408800;1394036134300;1520286067700;16467238634
"7";"Zonas Estadísticas";"06";"Sierra Norte";53368756900;54014258000;56988473400;60523923600;65335975300;70794757900;75293708300;82763546900;896285451
"8";"Zonas Estadísticas";"07";"Nordeste Comunidad";82724039200;84952884800;90582280800;96383676400;102451959700;105509395200;112843762200;123391987100;1357367205
"9";"Zonas Estadísticas";"08";"Sudeste Comunidad";118268394700;122151650300;129412692500;138214065100;148548821100;153131999100;165474269400;181487748600;2002331338
"10";"Zonas Estadísticas";"09";"Sudoeste Comunidad";168362879600;174879792000;186310893400;199861203200;217053463200;224677896700;244649940900;268090043100;2957249030
"11";"Zonas Estadísticas";"10";"Sierra Sur";35373282700;36031546200;38282805000;41188703900;44454194700;47875747200;50979127600;55522753500;611282732
"12";"Zonas Estadísticas";"11";"Sierra Central";261845027900;267757484700;279808189700;297240265700;315999559400;325545196400;348425478400;377994579300;4116118703
"13";"Municipios";"0014";"Acebeda (La)";95421600;112536200;125223000;135816400;NA;NA;NA;NA;1358164
"14";"Municipios";"0029";"Ajalvir";6188455700;6149706500;6669938100;7063970800;7524115000;7447683600;7651870000;8359819500;89374695
