cod_municipio,municipio,latitud,longitud,poblacion,g_supermercados_count,g_supermercados_reviews,g_supermercados_rating_wavg,g_conveniencia_count,g_conveniencia_reviews,g_conveniencia_rating_wavg,g_farmacias_count,g_farmacias_reviews,g_farmacias_rating_wavg,g_bancos_count,g_bancos_reviews,g_bancos_rating_wavg,g_cajeros_count,g_cajeros_reviews,g_cajeros_rating_wavg,g_gasolineras_count,g_gasolineras_reviews,g_gasolineras_rating_wavg,g_hospitales_clinicas_count,g_hospitales_clinicas_reviews,g_hospitales_clinicas_rating_wavg,g_medicos_familia_count,g_medicos_familia_reviews,g_medicos_familia_rating_wavg,g_escuelas_infantiles_count,g_escuelas_infantiles_reviews,g_escuelas_infantiles_rating_wavg,g_colegios_institutos_count,g_colegios_institutos_reviews,g_colegios_institutos_rating_wavg,g_universidad_fp_count,g_universidad_fp_reviews,g_universidad_fp_rating_wavg,g_paradas_bus_count,g_paradas_bus_reviews,g_paradas_bus_rating_wavg,g_estaciones_principales_count,g_estaciones_principales_reviews,g_estaciones_principales_rating_wavg,g_aparcamientos_count,g_aparcamientos_reviews,g_aparcamientos_rating_wavg,g_restaurantes_count,g_restaurantes_reviews,g_restaurantes_rating_wavg,g_cafeterias_count,g_cafeterias_reviews,g_cafeterias_rating_wavg,g_bares_count,g_bares_reviews,g_bares_rating_wavg,g_cines_count,g_cines_reviews,g_cines_rating_wavg,g_gimnasios_count,g_gimnasios_reviews,g_gimnasios_rating_wavg,g_parques_count,g_parques_reviews,g_parques_rating_wavg,g_centros_comerciales_count,g_centros_comerciales_reviews,g_centros_comerciales_rating_wavg,g_comisarias_count,g_comisarias_reviews,g_comisarias_rating_wavg,g_bomberos_count,g_bomberos_reviews,g_bomberos_rating_wavg,g_ayuntamientos_count,g_ayuntamientos_reviews,g_ayuntamientos_rating_wavg,g_juzgados_count,g_juzgados_reviews,g_juzgados_rating_wavg,aq_aqi,aq_co_value,aq_no2_value,aq_o3_value,aq_pm10_value,aq_pm25_value,aq_so2_value
14,Acebeda (La),41.08697,-3.624634,68.0,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,20,485,4.341,0,0,,20,485,4.341,1,0,,20,485,4.341,20,485,4.341,4,0,,1,5,4.2,1,254,4.5,0,0,,1,38,4.3,0,0,,0,0,,1,41,2.9,0,0,,0,0,,0,0,,1,14,3.6,20,485,4.341,74,283.58,1.97,32.7,7.25,3.9,0.73
29,Ajalvir,40.53437,-3.481002,4946.0,6,2750,4.015,4,345,3.917,4,113,4.158,8,147,2.704,11,118,2.843,5,627,4.127,21,566,3.593,6,187,3.421,20,535,3.535,11,96,4.808,20,535,3.535,21,535,3.535,20,19,4.374,3,0,,20,9306,4.194,13,2726,4.336,20,5626,4.225,0,0,,11,365,4.845,20,958,4.142,0,0,,3,6,3.7,0,0,,2,453,3.705,20,535,3.535,81,500.25,16.55,19.29,21.22,10.2,2.71
35,Alameda del Valle,40.9179,-3.843788,256.0,0,0,,1,1,5.0,1,15,4.7,0,0,,0,0,,0,0,,20,2970,4.358,0,0,,20,2970,4.358,1,0,,20,2970,4.358,22,2975,4.358,10,8,4.263,0,0,,9,3231,4.336,0,0,,5,1391,4.372,0,0,,0,0,,19,333,4.529,0,0,,0,0,,0,0,,2,40,4.342,20,2970,4.358,75,459.92,3.16,31.95,17.52,9.71,1.15
40,Álamo (El),40.22972,-3.992688,10413.0,4,863,4.011,3,164,3.907,3,142,3.861,4,38,2.442,4,22,3.273,7,475,4.028,20,2400,4.526,2,63,2.376,20,2400,4.526,5,26,4.627,20,2400,4.526,21,2400,4.526,20,9,4.211,5,20,3.44,20,5350,4.003,4,1211,4.22,13,2145,4.093,0,0,,5,484,4.097,12,374,3.873,2,121,4.245,1,3,1.0,0,0,,1,162,3.6,20,2400,4.526,86,346.09,10.31,9.3,12.77,8.76,0.98
88,Aldea del Fresno,40.32399,-4.202217,3422.0,2,1291,4.3,0,0,,1,23,3.8,2,19,2.016,2,7,2.9,3,11,3.645,21,1876,4.162,3,30,2.0,20,1850,4.195,2,0,,20,1850,4.195,21,1857,4.195,8,12,3.975,8,33,1.818,7,2362,4.154,1,109,4.7,11,2060,4.148,0,0,,2,31,4.497,9,91,4.374,0,0,,2,1,5.0,1,12,4.8,1,132,3.8,20,1850,4.195,78,133.63,4.19,28.33,4.73,4.73,2.62
91,Algete,40.59642,-3.497902,21134.0,12,5305,4.071,1,446,3.9,6,293,4.301,6,178,2.43,7,155,2.583,6,545,3.925,22,3645,4.161,7,98,4.772,20,3336,4.175,13,161,4.924,20,3336,4.175,22,3337,4.174,20,19,3.584,4,0,,20,4668,4.308,5,477,4.217,20,1926,4.201,0,0,,14,1134,4.785,20,1985,4.121,2,916,4.103,2,11,3.9,0,0,,1,314,2.8,20,3336,4.175,74,479.66,14.89,33.1,13.6,3.0,2.33
105,Alpedrete,40.65875,-4.023713,15655.0,10,6249,4.115,3,673,3.997,4,226,3.7,3,99,2.129,3,67,2.096,10,3205,3.852,24,13219,3.9,9,2533,3.886,20,10815,3.918,16,79,4.913,20,10815,3.918,21,10815,3.918,21,96,3.63,8,54,3.793,20,12314,4.092,15,4994,3.612,20,4534,4.454,1,3544,4.0,15,1277,4.029,20,1012,4.298,1,8252,3.9,1,0,,0,0,,1,143,3.6,20,10815,3.918,63,539.59,11.99,2.53,22.62,22.62,1.52
112,Ambite,40.3292,-3.181895,701.0,0,0,,0,0,,1,50,4.9,0,0,,0,0,,0,0,,20,205,4.512,1,6,5.0,20,205,4.512,2,2,5.0,20,205,4.512,20,205,4.512,7,6,5.0,0,0,,2,140,4.643,0,0,,3,173,4.463,0,0,,0,0,,8,213,4.511,0,0,,0,0,,0,0,,1,47,4.0,20,205,4.512,75,274.63,5.52,31.41,12.0,12.0,1.96
127,Anchuelo,40.46549,-3.268585,1393.0,1,38,4.8,0,0,,1,11,4.6,0,0,,0,0,,0,0,,20,1616,4.322,0,0,,20,1616,4.322,0,0,,20,1616,4.322,20,1616,4.322,1,3,2.7,1,1,5.0,4,762,4.267,1,257,4.4,2,300,4.443,0,0,,0,0,,6,23,4.739,0,0,,0,0,,0,0,,1,82,4.1,20,1616,4.322,77,431.46,12.88,11.22,22.71,14.03,2.43
151,Arroyomolinos,40.26884,-3.920291,37299.0,8,5546,4.027,1,1,5.0,13,910,4.341,7,209,2.045,5,123,2.013,1,25,4.4,26,2959,3.94,7,893,3.884,20,2282,4.242,20,365,4.856,21,2282,4.242,21,2285,4.24,20,8,3.75,20,39,4.138,20,12777,4.175,15,7003,4.353,18,9535,4.224,0,0,,19,2792,4.261,20,2602,4.475,2,22,4.1,2,22,4.6,0,0,,1,229,3.1,20,2282,4.242,85,419.29,10.14,4.63,10.4,9.49,0.55
