EXTINTAS.Colectivo empresarial y Directorio.Directorio.Directorio sector servicios.Unidades locales. Unidades locales de hostelería. Unidad: Número. Fuente: Directorio de Unidades de Actividad Económica. Instituto de Estadística de la Comunidad de Madrid.;
Serie;;;2010
Comunidad de Madrid;;Comunidad de Madrid;27.903,00;
Zonas Estadísticas;01;Municipio de Madrid ;15.776,00;
Zonas Estadísticas;02;Norte Metropolitano ;1.211,00;
Zonas Estadísticas;03;Este Metropolitano  ;2.337,00;
Zonas Estadísticas;04;Sur Metropolitano   ;4.614,00;
Zonas Estadísticas;05;Oeste Metropolitano ;1.580,00;
Zonas Estadísticas;06;Sierra Norte        ;357,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;209,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;413,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;400,00;
Zonas Estadísticas;10;Sierra Sur          ;201,00;
Zonas Estadísticas;11;Sierra Central      ;805,00;
Municipios;0014;Acebeda (La);3,00;
Municipios;0029;Ajalvir;25,00;
Municipios;0035;Alameda del Valle;9,00;
Municipios;0040;Álamo (El);35,00;
Municipios;0053;Alcalá de Henares;773,00;
Municipios;0066;Alcobendas;441,00;
Municipios;0072;Alcorcón;618,00;
Municipios;0088;Aldea del Fresno;18,00;
Municipios;0091;Algete;65,00;
Municipios;0105;Alpedrete;53,00;
Municipios;0112;Ambite;3,00;
Municipios;0127;Anchuelo;4,00;
Municipios;0133;Aranjuez;229,00;
Municipios;0148;Arganda del Rey;197,00;
Municipios;0151;Arroyomolinos;70,00;
Municipios;0164;Atazar (El);3,00;
Municipios;0170;Batres;2,00;
Municipios;0186;Becerril de la Sierra;29,00;
Municipios;0199;Belmonte de Tajo;5,00;
Municipios;0210;Berrueco (El);12,00;
Municipios;0203;Berzosa del Lozoya;4,00;
Municipios;0225;Boadilla del Monte;132,00;
Municipios;0231;Boalo (El);29,00;
Municipios;0246;Braojos;2,00;
Municipios;0259;Brea de Tajo;4,00;
Municipios;0262;Brunete;38,00;
Municipios;0278;Buitrago del Lozoya;19,00;
Municipios;0284;Bustarviejo;21,00;
Municipios;0297;Cabanillas de la Sierra;6,00;
Municipios;0301;Cabrera (La);27,00;
Municipios;0318;Cadalso de los Vidrios;22,00;
Municipios;0323;Camarma de Esteruelas;14,00;
