Año;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2006;Comunidad de Madrid;;Comunidad de Madrid;223860;
2006;Municipios;0014;Acebeda (La);1;
2006;Municipios;0029;Ajalvir;100;
2006;Municipios;0035;Alameda del Valle;14;
2006;Municipios;0040;Álamo (El);243;
2006;Municipios;0053;Alcalá de Henares;8835;
2006;Municipios;0066;Alcobendas;3035;
2006;Municipios;0072;Alcorcón;7288;
2006;Municipios;0088;Aldea del Fresno;102;
2006;Municipios;0091;Algete;541;
2006;Municipios;0105;Alpedrete;399;
2006;Municipios;0112;Ambite;13;
2006;Municipios;0127;Anchuelo;34;
2006;Municipios;0133;Aranjuez;2052;
2006;Municipios;0148;Arganda del Rey;1671;
2006;Municipios;0151;Arroyomolinos;343;
2006;Municipios;0164;Atazar (El);5;
2006;Municipios;0170;Batres;44;
2006;Municipios;0186;Becerril de la Sierra;201;
2006;Municipios;0199;Belmonte de Tajo;38;
2006;Municipios;0210;Berrueco (El);30;
2006;Municipios;0203;Berzosa del Lozoya;15;
2006;Municipios;0225;Boadilla del Monte;892;
2006;Municipios;0231;Boalo (El);144;
2006;Municipios;0246;Braojos;8;
2006;Municipios;0259;Brea de Tajo;22;
2006;Municipios;0262;Brunete;241;
2006;Municipios;0278;Buitrago del Lozoya;74;
2006;Municipios;0284;Bustarviejo;76;
2006;Municipios;0297;Cabanillas de la Sierra;18;
2006;Municipios;0301;Cabrera (La);74;
2006;Municipios;0318;Cadalso de los Vidrios;176;
2006;Municipios;0323;Camarma de Esteruelas;223;
2006;Municipios;0339;Campo Real;137;
2006;Municipios;0344;Canencia;17;
2006;Municipios;0357;Carabaña;65;
2006;Municipios;0360;Casarrubuelos;115;
2006;Municipios;0376;Cenicientos;153;
2006;Municipios;0382;Cercedilla;201;
2006;Municipios;0395;Cervera de Buitrago;6;
2006;Municipios;0513;Chapinería;96;
2006;Municipios;0528;Chinchón;187;
2006;Municipios;0409;Ciempozuelos;714;
2006;Municipios;0416;Cobeña;97;
2006;Municipios;0468;Collado Mediano;235;
