municipio,sim1,sim2,sim3,sim4,sim5,sim6,sim7,sim8,sim9,sim10
La Acebeda,Gascones,Horcajuelo de la Sierra,Piñuécar-Gandullas,La Serna del Monte,Madarcos,Prádena del Rincón,Somosierra,Horcajo de la Sierra,Robledillo de la Jara,Cervera de Buitrago
Ajalvir,Colmenarejo,Villanueva del Pardillo,Cobeña,Collado Mediano,Loeches,Titulcia,Algete,Hoyo de Manzanares,Torrelodones,Brunete
Alameda del Valle,Pelayos de la Presa,San Martín de Valdeiglesias,Rascafría,Pinilla del Valle,Patones,Garganta de los Montes,Canencia,Valdemaqueda,Robledo de Chavela,Fresnedillas de la Oliva
El Álamo,Quijorna,Casarrubuelos,Valdemorillo,Valdetorres de Jarama,Villar del Olmo,Talamanca de Jarama,El Escorial,Villanueva de la Cañada,Batres,Serranillos del Valle
Aldea del Fresno,Navas del Rey,Torrelaguna,Olmeda de las Fuentes,Orusco de Tajuña,Colmenar del Arroyo,La Cabrera,Belmonte de Tajo,Valdemanco,Guadalix de la Sierra,Ambite
Algete,Daganzo de Arriba,Torrelodones,Valdeolmos-Alalpardo,Cobeña,Collado Mediano,Fuente el Saz de Jarama,Hoyo de Manzanares,Titulcia,Colmenarejo,Ajalvir
Alpedrete,Fuente el Saz de Jarama,Valdeolmos-Alalpardo,Soto del Real,Daganzo de Arriba,Pedrezuela,Algete,Becerril de la Sierra,El Molar,Torrelodones,Collado Mediano
Ambite,Carabaña,Colmenar de Oreja,Olmeda de las Fuentes,Orusco de Tajuña,Zarzalejo,Santa María de la Alameda,La Cabrera,Villamantilla,Aldea del Fresno,Torrelaguna
Anchuelo,Villarejo de Salvanés,El Vellón,Valdeavero,Valdepiélagos,Sevilla la Nueva,Tielmes,Villanueva de Perales,Fresno de Torote,Pezuela de las Torres,Valverde de Alcalá
Arroyomolinos,Moraleja de Enmedio,Humanes de Madrid,Ciempozuelos,Mejorada del Campo,Villaviciosa de Odón,Villalbilla,Velilla de San Antonio,Cubas de la Sagra,Torrejón de Velasco,Paracuellos de Jarama
El Atazar,Berzosa del Lozoya,Puebla de la Sierra,Robregordo,La Hiruela,Navarredonda y San Mamés,Valdaracete,Cenicientos,Cadalso de los Vidrios,Villamanrique de Tajo,Puentes Viejas
Batres,Torres de la Alameda,Serranillos del Valle,Villanueva de la Cañada,Morata de Tajuña,Perales de Tajuña,Navalcarnero,Villalbilla,Ciempozuelos,Velilla de San Antonio,Paracuellos de Jarama
Becerril de la Sierra,Moralzarzal,San Agustín del Guadalix,Fuente el Saz de Jarama,Alpedrete,Daganzo de Arriba,Collado Mediano,Cobeña,Algete,Valdeolmos-Alalpardo,Villanueva del Pardillo
Belmonte de Tajo,Colmenar del Arroyo,Torrelaguna,Guadalix de la Sierra,Navas del Rey,Aldea del Fresno,Chapinería,Venturada,Navalafuente,Orusco de Tajuña,Cercedilla
El Berrueco,Canencia,Robledo de Chavela,Valdemaqueda,Pelayos de la Presa,Rascafría,Alameda del Valle,San Martín de Valdeiglesias,Patones,Pinilla del Valle,Villa del Prado
Berzosa del Lozoya,El Atazar,Puebla de la Sierra,Robregordo,La Hiruela,Navarredonda y San Mamés,Valdaracete,Cenicientos,Cadalso de los Vidrios,Villamanrique de Tajo,Puentes Viejas
El Boalo,Villavieja del Lozoya,Braojos,Buitrago del Lozoya,Villaconejos,Miraflores de la Sierra,Bustarviejo,Cabanillas de la Sierra,Robledo de Chavela,Fresnedillas de la Oliva,Valdemaqueda
Braojos,El Boalo,Villavieja del Lozoya,Buitrago del Lozoya,Villaconejos,Madarcos,La Serna del Monte,Piñuécar-Gandullas,Cervera de Buitrago,Rozas de Puerto Real,Horcajo de la Sierra
Brea de Tajo,Fuentidueña de Tajo,Gargantilla del Lozoya y Pinilla de Buitrago,Puentes Viejas,Estremera,Cadalso de los Vidrios,Villamanrique de Tajo,Cenicientos,Villa del Prado,Santa María de la Alameda,La Hiruela
Brunete,Camarma de Esteruelas,Torrejón de la Calzada,Loeches,Galapagar,Torrejón de Velasco,Villanueva del Pardillo,San Martín de la Vega,San Fernando de Henares,Ajalvir,Colmenarejo
